START DATE,C02 Levels,WEEKS PASSED
3/29/1958,316.19,0
4/5/1958,317.31,1
4/12/1958,317.69,2
4/19/1958,317.58,3
4/26/1958,316.48,4
5/3/1958,316.95,5
5/17/1958,317.56,6
5/24/1958,317.99,7
7/5/1958,315.85,8
7/12/1958,315.85,9
7/19/1958,315.46,10
7/26/1958,315.59,11
8/2/1958,315.64,12
8/9/1958,315.1,13
8/16/1958,315.09,14
8/30/1958,314.14,15
9/6/1958,313.54,16
11/8/1958,313.05,17
11/15/1958,313.26,18
11/22/1958,313.57,19
11/29/1958,314.01,20
12/6/1958,314.56,21
12/13/1958,314.41,22
12/20/1958,314.77,23
12/27/1958,315.21,24
1/3/1959,315.24,25
1/10/1959,315.5,26
1/17/1959,315.69,27
1/24/1959,315.86,28
1/31/1959,315.42,29
2/14/1959,316.94,30
2/21/1959,316.61,31
2/28/1959,316.62,32
3/7/1959,316.81,33
3/21/1959,316.73,34
3/28/1959,316.71,35
4/4/1959,317.72,36
4/11/1959,317.12,37
4/18/1959,317.64,38
4/25/1959,318.32,39
5/2/1959,318.27,40
5/9/1959,318.78,41
5/16/1959,318.05,42
5/23/1959,318.43,43
6/6/1959,318.53,44
6/13/1959,318.14,45
6/20/1959,317.88,46
6/27/1959,317.76,47
7/4/1959,316.86,48
7/11/1959,316.83,49
7/18/1959,316.45,50
7/25/1959,316.16,51
8/1/1959,315.62,52
8/8/1959,314.91,53
8/22/1959,315,54
8/29/1959,314.15,55
9/5/1959,314.45,56
9/12/1959,313.93,57
9/19/1959,313.57,58
9/26/1959,313.54,59
10/3/1959,313.04,60
10/10/1959,313.15,61
10/17/1959,313.43,62
10/24/1959,313.46,63
10/31/1959,314.12,64
11/7/1959,314.42,65
11/14/1959,314.88,66
11/21/1959,315.2,67
11/28/1959,315.11,68
12/5/1959,315.06,69
12/12/1959,315.64,70
12/19/1959,315.86,71
12/26/1959,315.77,72
1/2/1960,315.72,73
1/9/1960,316.4,74
1/16/1960,316.73,75
1/23/1960,316.57,76
1/30/1960,316.68,77
2/6/1960,316.61,78
2/13/1960,316.98,79
2/20/1960,317.42,80
2/27/1960,317,81
3/5/1960,316.96,82
3/12/1960,317.76,83
3/19/1960,318.07,84
3/26/1960,317.77,85
4/2/1960,318.61,86
4/9/1960,319.34,87
4/16/1960,319.01,88
4/23/1960,319.03,89
4/30/1960,319.77,90
5/7/1960,319.96,91
5/14/1960,319.82,92
5/21/1960,320.04,93
5/28/1960,320.06,94
6/4/1960,319.46,95
6/11/1960,320.08,96
6/18/1960,319.42,97
6/25/1960,319.09,98
7/2/1960,318.18,99
7/9/1960,318.64,100
7/16/1960,318.41,101
7/23/1960,317.91,102
